locality,unified_locality
oudenaarde,oudenaarde
edegem,edegem
aalst,aalst
antwerpen,antwerpen
deurne,veurne
habay (habay-la-neuve),habay
borsbeek,borsbeek
lokeren,lokeren
lubbeek,lubbeek
jette,jette
vilvoorde,vilvoorde
verviers,verviers
ranst emblem,ranst emblem
antwerpen (wilrijk),antwerpen
bruxelles,bruxelles
esneux tilff,esneux tilff
stekene,stekene
laeken,laeken
kraainem,kraainem
woluwe-saint-pierre,woluwe-saint-pierre
ravels,ravels
machelen (),machelen
zottegem,zottegem
aarschot gelrode,aarschot gelrode
dadizele,dadizele
edegem,edegem
antwerpen,antwerpen
borgerhout,borgerhout
berchem,merchtem
geel,geel
antwerpen,antwerpen
rotselaar,rotselaar
woluwe-saint-lambert,woluwe-saint-lambert
izegem,izegem
aalst,aalst
gentinnes,estinnes
antwerpen ,antwerpen
herselt,herselt
anderlecht,anderlecht
borgerhout,borgerhout
deurne,veurne
mol,mol
antwerpen,antwerpen
bruxelles,bruxelles
uccle,uccle
sint-pieters-leeuw,sint-pieters-leeuw
brugge,brugge
grimbergen,grimbergen
zele,zele
gavere,gavere
antwerpen-zuid,antwerpen-zuid
uccle,uccle
seraing,seraing
mechelen,mechelen
schaerbeek,schaerbeek
anderlecht,anderlecht
deurne (),deurne
antwerpen,antwerpen
gent,gent
eernegem,beernem
bever,bever
leopoldsburg,leopoldsburg
ganshoren,ganshoren
gent,gent
heist-op-den-berg booischot,heist-op-den-berg booischot
heist-op-den-berg booischot,heist-op-den-berg booischot
blankenberge,blankenberge
ronse,ronse
lier,lier
tessenderlo,tessenderlo
lier,lier
geraardsbergen,geraardsbergen
lokeren,lokeren
jauche,jauche
laeken,laeken
schaerbeek,schaerbeek
laeken,laeken
oostende,oostende
oupeye,oupeye
boortmeerbeek,boortmeerbeek
adegem,maldegem
oostende,oostende
deurne,veurne
bredene,bredene
boncelles,celles
bruxelles,bruxelles
mechelen,mechelen
aalst,aalst
oostende,oostende
deurne,veurne
borgerhout,borgerhout
edegem,edegem
deurne,veurne
schoten,schoten
strombeek-bever,strombeek-bever
molenbeek-saint-jean,molenbeek-saint-jean
anderlecht,anderlecht
antwerpen,antwerpen
edegem,edegem
antwerpen,antwerpen
oostende,oostende
berchem,merchtem
antwerpen,antwerpen
oostende,oostende
leuven,leuven
deurne (),deurne
libramont-chevigny,libramont-chevigny
flémalle,flémalle
seraing,seraing
herstal,herstal
seraing,seraing
seraing,seraing
beyne-heusay,beyne-heusay
herstal vottem,herstal vottem
